article,date,lien,title
"['L’activiste de la société civile à Ben Arous, Boutheina Hajji a indiqué sur les ondes de Mosaïque FM qu’une initiative politique indépendante a été officialisée ce dimanche 23 juin 2019 sous le nom ""Tounes Tajma’ona"" (La Tunisie nous rassemble) avec la participation de près de 2000 jeunes en provenance des différentes régions du pays.', 'Cette initiative vise à généraliser l’expérience de ""Ben Arous tajma’ona"". \xa0', '', 'JavaScript is required.', '\xa0']", 23 Juin 2019 18:06,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/565966/lancement-de-l-initiative-tounes-tajama-ona,Lancement de l’initiative ''Tounes Tajama’ona''
"['Afek Tounes a annoncé que le général major retraité, Jamel Boujeh a rejoint le parti et sera la tête de liste d’Afek dans la circonscription de Kairouan lors des prochaines législatives.']", 23 Juin 2019 14:04,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/565836/un-militaire-retraite-tete-de-liste-d-afek-tounes-aux-legislatives,"Un militaire retraité, tête de liste d’Afek Tounes aux législatives"
"['Le député Zouheir Maghzaoui, du bloc démocrate, a indiqué, jeudi, que le nombre de députés ayant signé la pétition pour soutenir le recours contre les amendements de la loi électorale a dépassé les quarante.', 'Le recours sera déposé auprès de l’Instance provisoire de contrôle de la constitutionnalité des projets de loi au début de la semaine prochaine, a-t-il déclaré à l’Agence Tunis-Afrique-Presse.', 'Beaucoup de députés rejettent, par principe, l’amendement de la loi électorale, à quelques mois des élections législatives et présidentielle, a-t-il dit. Pour lui, cet amendement sera exploité à des fins politiques étriquées.  Maghzaoui a relevé que l’opposition usera de toutes les voies légales et constitutionnelles pour lutter contre ce genre de pratiques.', 'Il a fait remarquer que les blocs d’Ennahdha, de la Coalition nationale et d’el-Horra ont profité de leur majorité au parlement pour faire passer de force ces amendements, et ce malgré le refus de la société politique et de certains politiques et constitutionnalistes.', 'Intenter un recours contre une loi requiert la signature de 30 députés avant de le déposer auprès de l\'Instance provisoire de contrôle de la constitutionnalité des projets de loi, conformément à l\'article 18 de la loi organique relative à l\'instance.', 'Le projet de loi organique portant amendement de la loi organique n°2014-16 du 26 mai 2014, relatif aux élections et aux référendums, a été adopté, mardi dernier, en plénière, dans son intégralité, avec 128 voix pour, 30 contre et 14 abstentions.  Ce projet de loi devrait entrer en vigueur une fois publié au Journal Officiel de la République Tunisienne.']", 20 Juin 2019 15:25,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/564276/arp-plus-de-40-signatures-contre-l-amendement-de-la-loi-electorale,ARP: Plus de 40 signatures contre l'amendement de la loi électorale
"['Deux nouveaux partis politiques viennent d’être créés, annonce, jeudi, le département en charge de la Relation avec les instances constitutionnelles, la société civile et des droits de l’Homme.', 'Il s’agit de ‘‘l’Union patriotique libre’’ et du "" parti tunisien pour la paix sociale "". Le premier est fondé par Taieb Sadok, avocat de l’homme d’affaires Slim Riahi alors que le deuxième est par Houda Knani.', 'Rappelons que l’UPL a été fondé par Slim Riahi en 2011. Il a réussi à obtenir 16 sièges à l’ARP suite aux législatives de 2014 avant sa fusion avec Nidaa Tounes en 2018 et sa dissolution quelques mois plus tard.', 'Ces deux formations politiques ont été créées en vertu des dispositions du décret-loi n°2011-87 portant organisation des partis, indique un communiqué du département.', 'Le lancement de ces deux partis porte désormais à 218, le nombre total des partis politiques en Tunisie, précise encore la même source']", 20 Juin 2019 21:26,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/564556/l-avocat-de-slim-riahi-relance-l-upl,L’avocat de Slim Riahi relance l’UPL
"['Le président du Conseil de la Choura d\'Ennahdha, Abdelkarim Harouni, a déclaré ce vendredi que le parti ne craint la concurrence d\'aucune partie et qu\'il a foi en la conscience des Tunisiens.', ""Le président du Conseil de la Choura d'Ennahdha, Abdelkarim Harouni, a déclaré ce vendredi que le parti ne craint la concurrence d'aucune partie et qu'il a foi en la conscience des Tunisiens."", '""L\'élite du pays ne permettra pas aux escrocs de nuire à l\'expérience démocratique tunisienne"", a-t-il indiqué, ajoutant : Celui qui exploite le travail associatif et use des financements étrangers afin de vouloir, soudain, devenir président de la République, ne peut que représenter un grand danger pour la démocratie.""', 'Il a conclu disant que tout le monde a le droit d\'intenter un recours contre les amendements de la Loi électorale.']", 22 Juin 2019 01:44,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/565246/harouni-ennahdha-ne-craint-pas-les-concurrents,Harouni : 'Ennahdha ne craint pas les concurrents'
"['Mongi Rahoui, dirigeant du Front Populaire a considéré dans un meeting populaire à Béja, que Hamma Hammami n’est plus porte-parole d’Al Jabha mais plutôt de quatre partis.', 'Il a ajouté que Hamma Hammami fait obstacle au Front Populaire et qu’Al Jabha marque un nouveau départ aujourd’hui à Béja.']", 23 Juin 2019 16:26,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/565901/rahoui-h-hammami-n-est-plus-porte-parole-d-al-jabha,Rahoui : H.Hammami n’est plus porte-parole d’Al Jabha
"[""Mosaique FM a appris qu'il a été décidé de nommer Maître Lazher Akermi en tant que ministre conseiller auprès de la présidence du gouvernement, chargé des affaires politiques et régionales."", ""Rappelons que Lazher Akermi avait occupé le poste de ministre chargé de la sûreté au ministère de l'Intérieur, après avoir rejoint Nidaa Tounes en tant que député au sein de l'ARP. Lazher Akermi est avocat auprès de la cour de cassation\xa0 depuis des\xa0années.""]", 21 Juin 2019 11:18,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/564736/lazhar-akermi-ministre-conseiller-aupres-du-chef-du-gouvernement,"Lazhar Akermi, ministre conseiller auprès du chef du gouvernement"
"['La présidence du gouvernement a envoyé une correspondance à Nidaa Tounes pour l’informer du fait que Hafedh Caid Essebsi restera l’unique représentant légal du parti jusqu’à ce que la justice judiciaire ne tranche sur cette question.\xa0  \xa0', '']", 20 Juin 2019 19:43,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/564496/h-caid-essebsi-representant-legal-de-nidaa-tounes,"H.Caid Essebsi, représentant légal de Nidaa Tounes"
"['Le premier vice président de l\'ARP Abdelfattah Mourou a été victime ce mercredi 19 juin 2019, d\'un malaise ce qui a nécessité l\'intervention du\xa0 député et médecin Bechir Lazzem, afin de l\'examiner.  L\'état de santé de Mourou s\'était dégradé après avoir levé la séance ayant connu des tensions entre les députés de mouvements Ennahdha et le président du bloc démocratique Salem Labyedh.']", 19 Juin 2019 14:14,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563601/mourou-victime-d-un-malaise-a-l-arp,Mourou victime d'un malaise à l'ARP
"['Abdelhamid Jelassi, dirigeant au sein d\'Ennahdha a assuré, ce jeudi 20 juin, que 55 députés parmi 68, ont renouvelé leurs candidatures aux élections législatives, en plus de 20 autres, relevant du bureau exécutif, et de 61\xa0 membres du conseil de la Choura.', 'Il a précisé que les listes préliminaires seront approuvées lors de la tenue du bureau exécutif du mouvement le 2 juillet.', '\xa0']", 20 Juin 2019 09:24,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563961/ennahdha-55-deputes-renouvellent-leurs-candidatures-aux-legislatives,Ennahdha: 55 députés renouvellent leurs candidatures aux législatives
