article,date,lien,title
"Mosaïque FM a appris que les présidents des blocs parlementaires ont affirmé, à l'unanimité, qu'il n'y aucune vacance officielle au niveau de la présidence de la République.,Mohamed Naceur a, dans ce sens, souhaité prompt rétablissement à Caid Essebsi qui a été victime d'un deuxième malaise qualifié d'aigu.,""Nous sommes de tout coeur avec Monsieur le président."", s'est-il exprimé.", 27 Juin 2019 16:57,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568439/il-n-y-a-pas-de-vacance-a-la-presidence-de-la-republique,'Il n'y a pas de vacance à la présidence de la République'
"Mosaïque FM a appris que les présidents des blocs parlementaires ont affirmé, à l'unanimité, qu'il n'y aucune vacance officielle au niveau de la présidence de la République.,Mohamed Naceur a, dans ce sens, souhaité prompt rétablissement à Caid Essebsi qui a été victime d'un deuxième malaise qualifié d'aigu.,""Nous sommes de tout coeur avec Monsieur le président."", s'est-il exprimé.", 27 Juin 2019 16:57,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568439/il-n-y-a-pas-de-vacance-a-la-presidence-de-la-republique,'Il n'y a pas de vacance à la présidence de la République'
"Le député du Front populaire, Ahmed Seddik, a déclaré ce mercredi 19 juin qu'il était pour le fait d'intenter un recours contre la loi électorale adoptée hier, pour inconstitutionnalité.,Il a, en outre, souligné qu'il avait voté contre les amendements proposées car ils ont eu lieu la veille des élections.,   ", 19 Juin 2019 11:00,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563471/ahmed-seddik-pour-un-recours-contre-la-loi-electorale,Ahmed Seddik pour un recours contre la loi électorale 
"Le parti ""Al Massar"" a annoncé, dans un communiqué, sa participation dans une nouvelle coalition politique et électorale appelée 'La voie démocratique et sociale'.,Le parti a affirmé son droit à la participation aux élections et son intention de proposer un candidat pour la Présidentielle.", 19 Juin 2019 11:11,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563496/al-massar-dans-une-nouvelle-coalition,Al Massar dans une nouvelle coalition 
