,Unnamed: 0,article,date,lien,title
0,1,"Le parti ""Al Massar"" a annoncé, dans un communiqué, sa participation dans une nouvelle coalition politique et électorale appelée 'La voie démocratique et sociale'.,Le parti a affirmé son droit à la participation aux élections et son intention de proposer un candidat pour la Présidentielle.", 19 Juin 2019 11:11,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563496/al-massar-dans-une-nouvelle-coalition,Al Massar dans une nouvelle coalition 
1,2,"Basma Belaid, veuve du martyr Chokri Belaid a nié avoir donné une quelconque déclaration aux médias concernant une éventuelle accusation d'avoir dissimulé des preuves dans le dossier de l'affaire Belaid.,  Elle a affirmé que c'est une plainte déposée par un blogueur à son encontre l'accusant d'avoir caché le téléphone du martyr alors qu'aucune accusation ne lui a été adressé.,  Elle considère que ces rumeurs s'inscrivent dans une campagne de dénigrement et atteinte à la mémoire du martyr.", 19 Juin 2019 11:07,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/563486/basma-belaid-campagne-de-denigrement-contre-le-martyr-et-sa-famille,Basma Belaid: Campagne de dénigrement contre le martyr et sa famille
